Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C15,4.7uF,C_1206_3216Metric,30.302,40.564,0.0,top
C16,1uF,C_0603_1608Metric,30.81,36.754,-90.0,top
C17,4.7uF,C_1206_3216Metric,30.302,20.498,0.0,top
C18,1uF,C_0603_1608Metric,31.1115,16.8525,-90.0,top
C19, 100nF,C_0603_1608Metric,32.842,36.741,-90.0,top
C20, 100nF,C_0603_1608Metric,32.8895,16.8525,-90.0,top
C21,4.7uF,C_1206_3216Metric,30.302,45.644,180.0,top
C22,4.7uF,C_1206_3216Metric,30.302,25.578,180.0,top
C23, 100nF,C_0603_1608Metric,47.32,36.5,-90.0,top
C24, 100nF,C_0603_1608Metric,47.3675,16.5985,-90.0,top
C25,4.7uF,C_1206_3216Metric,50.622,42.342,90.0,top
C26,4.7uF,C_1206_3216Metric,50.4155,22.1865,90.0,top
C27,1uF,C_0603_1608Metric,49.352,36.487,-90.0,top
C28,1uF,C_0603_1608Metric,49.3995,16.5985,-90.0,top
D1,Red,LED_0805_2012Metric,19.126,46.406,0.0,top
D2,Green,LED_0805_2012Metric,19.126,43.358,0.0,top
D3,Blue,LED_0805_2012Metric,23.19,40.056,0.0,top
D4,White,LED_0805_2012Metric,23.444,20.244,0.0,top
D11,SM712_SOT23,SOT-23,56.972,32.69,0.0,top
D12,SM712_SOT23,SOT-23,56.972,12.878,0.0,top
J1,Power,PinSocket_1x08_P2.54mm_Vertical,27.94,2.54,90.0,top
J2,PWM,PinSocket_1x10_P2.54mm_Vertical,18.796,50.8,90.0,top
J3,Analog,PinSocket_1x08_P2.54mm_Vertical,50.8,2.54,90.0,top
J4,PWM,PinSocket_1x08_P2.54mm_Vertical,45.72,50.8,90.0,top
J5,Analog,PinSocket_1x08_P2.54mm_Vertical,73.66,2.54,90.0,top
J6,Communication,PinSocket_1x08_P2.54mm_Vertical,68.58,50.8,90.0,top
J7,Digital,PinSocket_2x18_P2.54mm_Vertical,93.98,7.62,180.0,top
J8,Screw_Terminal_01x03,TerminalBlock_bornier-3_P5.08mm,67.132,41.58,-90.0,top
J9,Screw_Terminal_01x03,TerminalBlock_bornier-3_P5.08mm,67.132,21.514,-90.0,top
J10,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,52.654,37.516,90.0,top
J11,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,52.141,28.372,90.0,top
J12,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,60.782,29.383,180.0,top
J13,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,52.903,17.45,90.0,top
J14,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,52.146,8.56,90.0,top
J15,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,60.782,9.571,180.0,top
J16,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,12.014,20.498,90.0,top
L2,10uH,L_0805_2012Metric,30.81,43.104,0.0,top
L3,10uH,L_0805_2012Metric,30.81,23.038,0.0,top
L4,10uH,L_0805_2012Metric,47.32,41.834,90.0,top
L5,10uH,L_0805_2012Metric,47.3675,21.6785,90.0,top
R1,3K,R_0805_2012Metric,23.19,46.406,0.0,top
R2,3K,R_0805_2012Metric,23.19,43.358,0.0,top
R3,3K,R_0805_2012Metric,23.19,37.516,0.0,top
R4,3K,R_0805_2012Metric,23.444,17.704,0.0,top
R5,0R,R_0805_2012Metric,22.936,29.388,90.0,top
R6,DNP/10K,R_0805_2012Metric,23.19,13.132,-90.0,top
R7,0R,R_0805_2012Metric,23.19,9.322,90.0,top
R17,10K,R_0805_2012Metric,27.0,36.5,-90.0,top
R18,10K,R_0805_2012Metric,27.0475,16.5985,-90.0,top
R20,3K3,R_0805_2012Metric,31.8735,10.2485,180.0,top
R21,3K3,R_0805_2012Metric,31.826,30.404,180.0,top
R22,3K3,R_0805_2012Metric,31.8735,12.7885,180.0,top
R23,3K3,R_0805_2012Metric,31.826,32.69,180.0,top
R24,DNP/10K,R_0805_2012Metric,22.936,33.198,-90.0,top
R26,22R,R_1206_3216Metric,52.654,33.96,180.0,top
R27,22R,R_1206_3216Metric,52.654,31.42,180.0,top
R28,100R,R_1206_3216Metric,60.528,42.342,90.0,top
R29,22R,R_1206_3216Metric,52.654,14.148,180.0,top
R30,22R,R_1206_3216Metric,52.654,11.608,180.0,top
R31,100R,R_1206_3216Metric,60.528,22.276,90.0,top
R32,300R,R_1206_3216Metric,53.67,42.342,90.0,top
R33,300R,R_1206_3216Metric,53.4635,22.1865,90.0,top
R34,2K2,R_0805_2012Metric,49.098,32.944,90.0,top
R35,2K2,R_0805_2012Metric,49.098,29.134,90.0,top
R36,120R,R_1206_3216Metric,60.528,36.5,-90.0,top
R37,2K2,R_0805_2012Metric,49.098,13.132,90.0,top
R38,2K2,R_0805_2012Metric,49.098,9.322,90.0,top
R39,120R,R_1206_3216Metric,60.528,16.688,-90.0,top
R40,300R,R_1206_3216Metric,56.718,42.342,90.0,top
R41,300R,R_1206_3216Metric,56.5115,22.1865,90.0,top
U6,74LVC1G04,SOT-23-5,27.5555,11.5185,270.0,top
U7,74LVC1G04,SOT-23-5,27.762,31.42,270.0,top
U8,CRE1S0505SC,Converter_DCDC_muRata_CRE1xxxxxxSC_THT,35.9375,40.7285,90.0,top
U9,ISO308xDWR,SOIC-16W_7.5x10.3mm_P1.27mm,39.954,32.69,270.0,top
U10,CRE1S0505SC,Converter_DCDC_muRata_CRE1xxxxxxSC_THT,35.9375,20.6625,90.0,top
U11,ISO308xDWR,SOIC-16W_7.5x10.3mm_P1.27mm,40.0015,12.7885,270.0,top
